Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Is_Hit,Hit_Status
Wii Sports,Wii,2006,Sports,Nintendo,41.36,28.96,3.77,8.45,82.53,76,51.0,8.0,322.0,Nintendo,E,1,Hit
Mario Kart Wii,Wii,2008,Racing,Nintendo,15.68,12.76,3.79,3.29,35.52,82,73.0,8.3,709.0,Nintendo,E,1,Hit
Wii Sports Resort,Wii,2009,Sports,Nintendo,15.61,10.93,3.28,2.95,32.77,80,73.0,8.0,192.0,Nintendo,E,1,Hit
New Super Mario Bros.,DS,2006,Platform,Nintendo,11.28,9.14,6.5,2.88,29.8,89,65.0,8.5,431.0,Nintendo,E,1,Hit
Wii Play,Wii,2006,Misc,Nintendo,13.96,9.18,2.93,2.84,28.92,58,41.0,6.6,129.0,Nintendo,E,1,Hit
New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,14.44,6.94,4.7,2.24,28.32,87,80.0,8.4,594.0,Nintendo,E,1,Hit
Mario Kart DS,DS,2005,Racing,Nintendo,9.71,7.47,4.13,1.9,23.21,91,64.0,8.6,464.0,Nintendo,E,1,Hit
Wii Fit,Wii,2007,Sports,Nintendo,8.92,8.03,3.6,2.15,22.7,80,63.0,7.7,146.0,Nintendo,E,1,Hit
Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,15.0,4.89,0.24,1.69,21.81,61,45.0,6.3,106.0,Good Science Studio,E,1,Hit
Wii Fit Plus,Wii,2009,Sports,Nintendo,9.01,8.49,2.53,1.77,21.79,80,33.0,7.4,52.0,Nintendo,E,1,Hit
Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,7.02,9.09,0.98,3.96,21.04,97,50.0,8.2,3994.0,Rockstar North,M,1,Hit
Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,95,80.0,9.0,1588.0,Rockstar North,M,1,Hit
Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,4.74,9.2,4.16,2.04,20.15,77,58.0,7.9,50.0,Nintendo,E,1,Hit
Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,9.66,5.14,0.06,1.41,16.27,97,58.0,8.1,3711.0,Rockstar North,M,1,Hit
Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,95,62.0,8.7,730.0,Rockstar North,M,1,Hit
Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,3.43,5.35,5.32,1.18,15.29,77,37.0,7.1,19.0,Nintendo,E,1,Hit
Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,95,54.0,8.4,314.0,Polyphony Digital,E,1,Hit
Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,9.04,4.24,0.13,1.32,14.73,88,81.0,3.4,8713.0,"Infinity Ward, Sledgehammer Games",M,1,Hit
Call of Duty: Black Ops,X360,2010,Shooter,Activision,9.7,3.68,0.11,1.13,14.61,87,89.0,6.3,1454.0,Treyarch,M,1,Hit
Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,4.99,5.73,0.65,2.42,13.79,83,21.0,5.3,922.0,Treyarch,M,1,Hit
Call of Duty: Black Ops II,X360,2012,Shooter,Activision,8.25,4.24,0.07,1.12,13.67,83,73.0,4.8,2256.0,Treyarch,M,1,Hit
Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,8.52,3.59,0.08,1.28,13.47,94,100.0,6.3,2698.0,Infinity Ward,M,1,Hit
Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,5.54,5.73,0.49,1.57,13.32,88,39.0,3.2,5234.0,"Infinity Ward, Sledgehammer Games",M,1,Hit
Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,97,56.0,8.5,664.0,DMA Design,M,1,Hit
Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,6.62,2.55,2.66,1.01,12.84,93,81.0,8.9,1662.0,Game Arts,T,1,Hit
